method,component,layer,alpha,alpha_std,para_abs,para_abs_std,perp_abs,perp_abs_std,x_norm,x_norm_std,delta_norm,delta_norm_std,delta_over_x,delta_over_x_std,para_over_x,para_over_x_std,perp_over_x,perp_over_x_std,perp_ratio,perp_ratio_std,count
dense_baseline_track,block_out,23,-1.0,0.0,34.502689361572266,2.367973804473877,0.0,0.0,34.502689361572266,2.367973804473877,34.502689361572266,2.367973804473877,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,block_out,24,-1.0,0.0,36.29523849487305,3.210167646408081,0.0,0.0,36.29523849487305,3.210167646408081,36.29523849487305,3.210167646408081,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,block_out,25,-1.0,0.0,39.40072250366211,5.512149333953857,0.0,0.0,39.40072250366211,5.512149333953857,39.40072250366211,5.512149333953857,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,block_out,26,-1.0,0.0,40.0987434387207,4.964190483093262,0.0,0.0,40.0987434387207,4.964190483093262,40.0987434387207,4.964190483093262,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,block_out,27,-1.0,0.0,43.71475601196289,4.607255935668945,0.0,0.0,43.71475601196289,4.607255935668945,43.71475601196289,4.607255935668945,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,block_out,28,-1.0,0.0,51.33621597290039,8.466876029968262,0.0,0.0,51.33621597290039,8.466876029968262,51.33621597290039,8.466876029968262,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,block_out,29,-1.0,0.0,51.79378890991211,6.724797248840332,0.0,0.0,51.79378890991211,6.724797248840332,51.79378890991211,6.724797248840332,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,block_out,30,-1.0,0.0,67.50605773925781,7.348269939422607,0.0,0.0,67.50605773925781,7.348269939422607,67.50605773925781,7.348269939422607,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,block_out,31,-1.0,0.0,74.56813049316406,7.059042453765869,0.0,0.0,74.56813049316406,7.059042453765869,74.56813049316406,7.059042453765869,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,block_out,32,-1.0,0.0,93.04443359375,10.82694149017334,0.0,0.0,93.04443359375,10.82694149017334,93.04443359375,10.82694149017334,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,block_out,33,-1.0,0.0,124.4160385131836,18.083032608032227,0.0,0.0,124.4160385131836,18.083032608032227,124.4160385131836,18.083032608032227,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,block_out,34,-1.0,0.0,201.9527587890625,20.833885192871094,0.0,0.0,201.9527587890625,20.833885192871094,201.9527587890625,20.833885192871094,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,block_out,35,-1.0,0.0,282.43145751953125,22.07303237915039,0.0,0.0,282.43145751953125,22.07303237915039,282.43145751953125,22.07303237915039,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,attn_out,0,-1.0,0.0,3.8522732257843018,0.5188212990760803,0.0,0.0,3.8522732257843018,0.5188212990760803,3.8522732257843018,0.5188212990760803,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,attn_out,1,-1.0,0.0,2.587146520614624,0.3294939696788788,0.0,0.0,2.587146520614624,0.3294939696788788,2.587146520614624,0.3294939696788788,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,attn_out,2,-1.0,0.0,2.72405743598938,0.3695814907550812,0.0,0.0,2.72405743598938,0.3695814907550812,2.72405743598938,0.3695814907550812,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,attn_out,3,-1.0,0.0,3.509312868118286,0.6009883284568787,0.0,0.0,3.509312868118286,0.6009883284568787,3.509312868118286,0.6009883284568787,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
